p,L_mean,L_std,C_mean,C_std,L_norm,C_norm,six_degrees
0.0,50.4505,0.0,0.6667,0.0,1.0,1.0,✗  L=50.45
0.0001,49.5105,2.1239,0.6666,0.0002,0.9814,0.9999,✗  L=49.51
0.0005,32.3699,7.8574,0.6655,0.0007,0.6416,0.9983,✗  L=32.37
0.001,30.9119,4.8629,0.6653,0.0005,0.6127,0.9979,✗  L=30.91
0.005,11.7199,1.2432,0.6563,0.0028,0.2323,0.9844,✗  L=11.72
0.01,8.8795,0.448,0.6473,0.0019,0.176,0.971,✗  L=8.88
0.05,5.2093,0.0728,0.5731,0.0057,0.1033,0.8597,✓  L=5.21
0.1,4.4329,0.0482,0.4905,0.0088,0.0879,0.7358,✓  L=4.43
0.2,3.8726,0.0261,0.3506,0.0092,0.0768,0.526,✗  L=3.87
0.5,3.3829,0.0057,0.0909,0.0042,0.0671,0.1363,✗  L=3.38
1.0,3.2677,0.0017,0.0088,0.0005,0.0648,0.0132,✗  L=3.27
